"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"62",5,"Calvin Ridley",TEN,"WR31","10","4 out of 5 stars","+10","-0.4","37% (6/16)"
"63",6,"Tony Pollard",TEN,"RB23","10","2 out of 5 stars","+6","-1.5","40% (6/15)"
"64",6,"RJ Harvey",DEN,"RB24","12","2 out of 5 stars","-9","-","-"
"65",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-12","+0.1","37% (6/16)"
"66",6,"Isiah Pacheco",KC,"RB25","10","2 out of 5 stars","-5","-3.7","14% (1/7)"
"67",6,"Aaron Jones Sr.",MIN,"RB26","6","3 out of 5 stars","-1","-0.7","43% (7/16)"
"68",6,"Travis Hunter",JAC,"WR32","8","4 out of 5 stars","+3","-","-"
"69",6,"Chris Olave",NO,"WR33","11","4 out of 5 stars","+6","-3.5","30% (3/10)"
"70",6,"T.J. Hockenson",MIN,"TE5","6","3 out of 5 stars","-7","-1.3","33% (3/9)"
"71",6,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-4","+5.0","81% (13/16)"
"72",6,"Kaleb Johnson",PIT,"RB27","5","4 out of 5 stars","-2","-","-"
"73",6,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+4","+2.5","68% (11/16)"
"74",6,"Joe Mixon",HOU,"RB28","6","2 out of 5 stars","-17","+0.4","46% (6/13)"
"75",6,"Brian Robinson Jr.",WAS,"RB29","12","2 out of 5 stars","+3","-0.6","53% (7/13)"
"76",6,"Rome Odunze",CHI,"WR35","5","2 out of 5 stars","+3","-0.9","25% (4/16)"
"77",6,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-3","+2.0","62% (10/16)"
"78",6,"Mark Andrews",BAL,"TE6","7","3 out of 5 stars","-2","+1.8","62% (10/16)"
"79",6,"Travis Kelce",KC,"TE7","10","3 out of 5 stars","-14","-1.9","37% (6/16)"
"80",6,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+6","-1.1","50% (8/16)"
"81",6,"Tyrone Tracy Jr.",NYG,"RB30","14","3 out of 5 stars","0","+0.1","50% (8/16)"
"82",6,"Stefon Diggs",NE,"WR36","14","3 out of 5 stars","+7","+0.2","50% (4/8)"
"83",6,"Jakobi Meyers",LV,"WR37","8","4 out of 5 stars","+9","+1.1","50% (7/14)"
"84",6,"Jaylen Warren",PIT,"RB31","5","4 out of 5 stars","-1","-1.0","35% (5/14)"
"85",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars","-1","-1.8","22% (2/9)"
"86",7,"Justin Fields",NYJ,"QB10","9","5 out of 5 stars","+15","+0.9","46% (6/13)"
"87",7,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars","+12","-1.6","25% (2/8)"
"88",7,"Jordan Addison",MIN,"WR38","6","2 out of 5 stars","-6","+3.5","50% (7/14)"
"89",7,"Chris Godwin",TB,"WR39","9","3 out of 5 stars","-9","+3.5","57% (4/7)"
"90",7,"David Njoku",CLE,"TE9","9","3 out of 5 stars","-2","+1.9","54% (6/11)"
"91",7,"Brock Purdy",SF,"QB12","14","4 out of 5 stars","+6","+0.6","53% (8/15)"
"92",7,"Jauan Jennings",SF,"WR40","14","4 out of 5 stars","+1","+2.4","42% (6/14)"
"93",7,"Ricky Pearsall",SF,"WR41","14","4 out of 5 stars","+3","+1.0","40% (4/10)"
"94",7,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","-3","-3.6","14% (2/14)"
"95",7,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars","-1","-1.6","33% (4/12)"
"96",7,"Deebo Samuel Sr.",WAS,"WR42","12","3 out of 5 stars","-11","-3.9","20% (3/15)"
"97",7,"Jayden Reed",GB,"WR43","5","2 out of 5 stars","+1","-0.3","37% (6/16)"
"98",7,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+8","+0.2","50% (8/16)"
"99",7,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars","+5","+1.6","56% (9/16)"
"100",7,"Khalil Shakir",BUF,"WR44","7","3 out of 5 stars","+3","-0.2","53% (8/15)"
"101",7,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+6","-0.3","43% (7/16)"
"102",7,"Josh Downs",IND,"WR45","11","4 out of 5 stars","+14","+1.2","46% (6/13)"
"103",7,"Jared Goff",DET,"QB15","8","2 out of 5 stars","-8","+4.0","56% (9/16)"
"104",7,"Drake Maye",NE,"QB16","14","5 out of 5 stars","+16","+1.4","58% (7/12)"
"105",7,"Rhamondre Stevenson",NE,"RB34","14","4 out of 5 stars","+4","-1.1","40% (6/15)"
"106",7,"Zach Charbonnet",SEA,"RB35","8","3 out of 5 stars","-1","+1.0","43% (7/16)"
"107",7,"Javonte Williams",DAL,"RB36","10","2 out of 5 stars","+4","-2.1","25% (4/16)"
"108",7,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+13","+0.1","42% (6/14)"
"109",7,"Emeka Egbuka",TB,"WR46","9","3 out of 5 stars","+1","-","-"
"110",7,"Michael Pittman Jr.",IND,"WR47","11","4 out of 5 stars","+18","-1.5","40% (6/15)"
"111",7,"Cooper Kupp",SEA,"WR48","8","3 out of 5 stars","-21","-1.1","50% (6/12)"
"112",7,"Cam Skattebo",NYG,"RB37","14","3 out of 5 stars","-12","-","-"
"113",7,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars","+1","+0.6","40% (6/15)"
"114",7,"Tyler Warren",IND,"TE11","11","3 out of 5 stars","-2","-","-"
"115",7,"J.K. Dobbins",DEN,"RB39","12","2 out of 5 stars","-7","+1.0","50% (6/12)"
"116",7,"Tyjae Spears",TEN,"RB40","10","2 out of 5 stars","+8","+0.6","41% (5/12)"
"117",7,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+1","-2.6","30% (4/13)"
"118",7,"Najee Harris",LAC,"RB41","12","2 out of 5 stars","-5","-1.1","37% (6/16)"
"119",7,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+42","-0.8","40% (4/10)"
"120",8,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars","+24","+0.6","50% (8/16)"
"121",8,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","-2","-2.4","23% (3/13)"
"122",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+4","-3.0","25% (4/16)"
"123",8,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+6","-0.1","44% (4/9)"
"124",8,"Rachaad White",TB,"RB42","9","3 out of 5 stars","+10","+0.7","46% (7/15)"
"125",8,"Brandon Aiyuk",SF,"WR50","14","4 out of 5 stars","-3","-4.9","14% (1/7)"
"126",8,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","+7","-0.6","46% (6/13)"
"127",8,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars","+29","+2.2","66% (4/6)"
"128",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+2","-","-"
"129",8,"Matthew Golden",GB,"WR53","5","2 out of 5 stars","-27","-","-"
"130",8,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-13","-","-"
"131",8,"Ray Davis",BUF,"RB43","7","4 out of 5 stars","+11","+1.5","43% (7/16)"
"132",8,"Quinshon Judkins",CLE,"RB44","9","4 out of 5 stars","-45","-","-"
"133",8,"Christian Kirk",HOU,"WR54","6","4 out of 5 stars","+30","-2.1","37% (3/8)"
"134",8,"Tyler Allgeier",ATL,"RB45","5","4 out of 5 stars","+30","-0.4","31% (5/16)"
"135",8,"Jerome Ford",CLE,"RB46","9","4 out of 5 stars","+5","-1.0","42% (6/14)"
"136",8,"Austin Ekeler",WAS,"RB47","12","2 out of 5 stars","0","-0.1","54% (6/11)"
"137",8,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+12","+1.0","54% (6/11)"
"138",8,"Kyle Pitts Sr.",ATL,"TE16","5","3 out of 5 stars","-6","-1.1","37% (6/16)"
"139",8,"Rashod Bateman",BAL,"WR55","7","3 out of 5 stars","+35","+1.7","50% (8/16)"
"140",8,"Jaydon Blue",DAL,"RB48","10","2 out of 5 stars","-9","-","-"
"141",8,"Trey Benson",ARI,"RB49","8","3 out of 5 stars","+4","-0.7","28% (4/14)"
"142",8,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+59","+1.0","27% (3/11)"
"143",8,"Luther Burden III",CHI,"WR57","5","2 out of 5 stars","0","-","-"
"144",8,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+10","-1.0","18% (3/16)"
"145",8,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+3","-0.6","43% (7/16)"
"146",8,"Matthew Stafford",LAR,"QB22","8","3 out of 5 stars","+23","-1.5","31% (5/16)"
"147",8,"Jonnu Smith",PIT,"TE18","5","3 out of 5 stars","-32","+3.5","62% (10/16)"
"148",8,"Bryce Young",CAR,"QB23","14","3 out of 5 stars","+17","+1.5","50% (6/12)"
"149",8,"Marvin Mims Jr.",DEN,"WR58","12","3 out of 5 stars","+9","+2.0","50% (8/16)"
"150",8,"Michael Penix Jr.",ATL,"QB24","5","4 out of 5 stars","+9","-0.9","18% (2/11)"
"151",8,"Isaac Guerendo",SF,"RB51","14","3 out of 5 stars","-13","+1.7","33% (5/15)"
"152",9,"Romeo Doubs",GB,"WR59","5","2 out of 5 stars","+68","+0.4","38% (5/13)"
"153",9,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","-7","0.0","37% (6/16)"
"154",9,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","+8","+1.4","56% (9/16)"
"155",9,"Marquise Brown",KC,"WR60","10","3 out of 5 stars","+15","+1.7","50% (1/2)"
"156",9,"Kyle Williams",NE,"WR61","14","3 out of 5 stars","+19","-","-"
"157",9,"Jaylen Wright",MIA,"RB53","12","4 out of 5 stars","+19","-0.9","26% (4/15)"
"158",9,"Tre' Harris",LAC,"WR62","12","3 out of 5 stars","-7","-","-"
"159",9,"Adam Thielen",CAR,"WR63","14","4 out of 5 stars","+22","+3.3","55% (5/9)"
"160",9,"Roschon Johnson",CHI,"RB54","5","3 out of 5 stars","+52","+0.3","42% (6/14)"
"161",9,"Nick Chubb",HOU,"RB55","6","2 out of 5 stars","-26","-2.0","37% (3/8)"
"162",9,"Dylan Sampson",CLE,"RB56","9","4 out of 5 stars","-5","-","-"
"163",9,"Jayden Higgins",HOU,"WR64","6","4 out of 5 stars","-22","-","-"
"164",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+13","-0.8","43% (7/16)"
"165",9,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+40","-0.6","37% (6/16)"
"166",9,"Wan'Dale Robinson",NYG,"WR66","14","2 out of 5 stars","+43","-0.3","43% (7/16)"
"167",9,"Bhayshul Tuten",JAC,"RB57","8","2 out of 5 stars","-14","-","-"
"168",9,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","+32","-1.0","40% (6/15)"
"169",9,"Jalen McMillan",TB,"WR68","9","3 out of 5 stars","+3","+1.6","46% (6/13)"
"170",9,"Cameron Ward",TEN,"QB26","10","2 out of 5 stars","-20","-","-"
"171",9,"Quentin Johnston",LAC,"WR69","12","3 out of 5 stars","+48","+0.5","50% (7/14)"
"172",9,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+15","-","-"
"173",9,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+5","+2.4","75% (12/16)"
"174",9,"Isaiah Likely",BAL,"TE21","7","3 out of 5 stars","+11","+0.7","46% (7/15)"
"175",9,"Joshua Palmer",BUF,"WR70","7","3 out of 5 stars","+36","-1.2","26% (4/15)"
"176",9,"Blake Corum",LAR,"RB58","8","3 out of 5 stars","+14","-1.3","31% (5/16)"
"177",9,"Keenan Allen",LAC,"WR71","12","3 out of 5 stars","-17","+1.4","35% (5/14)"
"178",9,"Chig Okonkwo",TEN,"TE22","10","3 out of 5 stars","+14","+0.7","43% (7/16)"
"179",9,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-56","+1.6","50% (8/16)"
"180",9,"MarShawn Lloyd",GB,"RB59","5","4 out of 5 stars","+58","-0.6","33% (1/3)"
"181",9,"DeAndre Hopkins",BAL,"WR72","7","3 out of 5 stars","-14","-1.0","31% (5/16)"
"182",9,"Mike Gesicki",CIN,"TE23","10","2 out of 5 stars","+12","+0.3","37% (6/16)"
"183",9,"Pat Freiermuth",PIT,"TE24","5","3 out of 5 stars","+12","+0.9","50% (8/16)"
"184",9,"Cade Otton",TB,"TE25","9","3 out of 5 stars","0","+0.3","50% (7/14)"
"185",9,"Alec Pierce",IND,"WR73","11","4 out of 5 stars","+48","+3.1","53% (8/15)"
"186",9,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-61","-0.1","56% (9/16)"
"187",9,"Mason Taylor",NYJ,"TE26","9","3 out of 5 stars","+26","-","-"
"188",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-51","+0.1","50% (8/16)"
"189",10,"Jalen Coker",CAR,"WR74","14","4 out of 5 stars","+103","+1.9","44% (4/9)"
"190",10,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","-10","-0.3","50% (8/16)"
"191",10,"Minnesota Vikings",MIN,"DST4","6","2 out of 5 stars","-36","+0.8","50% (8/16)"
"192",10,"Jack Bech",LV,"WR75","8","4 out of 5 stars","-24","-","-"
"193",10,"Baltimore Ravens",BAL,"DST5","7","3 out of 5 stars","-41","-1.2","25% (4/16)"
"194",10,"Michael Wilson",ARI,"WR76","8","4 out of 5 stars","+73","-0.1","50% (8/16)"
"195",10,"Kyle Monangai",CHI,"RB60","5","3 out of 5 stars","+19","-","-"
"196",10,"Darius Slayton",NYG,"WR77","14","2 out of 5 stars","+67","-0.5","33% (5/15)"
"197",10,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+32","-1.1","31% (5/16)"
"198",10,"Kendre Miller",NO,"RB61","11","4 out of 5 stars","+89","-1.5","28% (2/7)"
"199",10,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-26","+0.1","37% (6/16)"
"200",10,"Anthony Richardson Sr.",IND,"QB29","11","3 out of 5 stars","-17","-1.4","30% (4/13)"
"201",10,"Miles Sanders",DAL,"RB62","10","2 out of 5 stars","+22","-1.5","20% (2/10)"
"202",10,"Justice Hill",BAL,"RB63","7","4 out of 5 stars","+6","+1.7","53% (8/15)"
"203",10,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-14","-0.3","37% (6/16)"
"204",10,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","-25","-0.8","31% (5/16)"
"205",10,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-19","-0.4","37% (6/16)"
"206",10,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-79","+3.5","75% (12/16)"
"207",10,"Kareem Hunt",KC,"RB64","10","2 out of 5 stars","-25","+0.7","53% (7/13)"
"208",10,"Jake Bates",DET,"K2","8","1 out of 5 stars","-61","+0.9","62% (10/16)"
"209",10,"Will Shipley",PHI,"RB65","9","3 out of 5 stars","+25","-0.1","11% (1/9)"
"210",10,"Dontayvion Wicks",GB,"WR78","5","2 out of 5 stars","+86","-1.1","25% (4/16)"
"211",10,"Adonai Mitchell",IND,"WR79","11","4 out of 5 stars","+78","-2.5","18% (3/16)"
"212",10,"Los Angeles Rams",LAR,"DST10","8","3 out of 5 stars","+6","+0.1","37% (6/16)"
"213",10,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-74","+2.6","68% (11/16)"
"214",10,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-16","+2.1","50% (8/16)"
"215",10,"Jaylin Noel",HOU,"WR80","6","4 out of 5 stars","+41","-","-"
"216",10,"Chris Boswell",PIT,"K5","5","1 out of 5 stars","-45","+3.5","62% (10/16)"
"217",10,"Los Angeles Chargers",LAC,"DST11","12","5 out of 5 stars","+45","-0.8","43% (7/16)"
"218",10,"DJ Giddens",IND,"RB66","11","2 out of 5 stars","+9","-","-"
"219",10,"Seattle Seahawks",SEA,"DST12","8","3 out of 5 stars","+5","+0.6","37% (6/16)"
"220",10,"Ka'imi Fairbairn",HOU,"K6","6","3 out of 5 stars","-54","+2.4","75% (12/16)"
"221",10,"Green Bay Packers",GB,"DST13","5","2 out of 5 stars","+1","-0.6","37% (6/16)"
"222",10,"Chase McLaughlin",TB,"K7","9","3 out of 5 stars","-31","+1.7","56% (9/16)"
"223",10,"Andrei Iosivas",CIN,"WR81","10","3 out of 5 stars","+70","+0.5","50% (8/16)"
"224",10,"Juwan Johnson",NO,"TE28","11","3 out of 5 stars","+40","-0.1","50% (8/16)"
"225",10,"Ja'Tavion Sanders",CAR,"TE29","14","4 out of 5 stars","+25","-0.2","46% (7/15)"
"226",10,"Calvin Austin III",PIT,"WR82","5","4 out of 5 stars","+45","+1.6","43% (7/16)"
"227",10,"Keaton Mitchell",BAL,"RB67","7","4 out of 5 stars","+26","-0.9","0% (0/3)"
"228",10,"Woody Marks",HOU,"RB68","6","2 out of 5 stars","-13","-","-"
"229",10,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","+11","-3.7","12% (2/16)"
"230",10,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+6","+1.4","50% (5/10)"
"231",10,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-43","+0.1","58% (7/12)"
"232",10,"Tyler Lockett",TEN,"WR83","10","4 out of 5 stars","+36","-2.0","31% (5/16)"
"233",10,"Pat Bryant",DEN,"WR84","12","3 out of 5 stars","+11","-","-"
"234",10,"Tyler Bass",BUF,"K9","7","2 out of 5 stars","-30","+0.9","50% (8/16)"
"235",10,"Evan McPherson",CIN,"K10","10","1 out of 5 stars","-32","+0.1","50% (6/12)"
"236",10,"Elijah Arroyo",SEA,"TE30","8","4 out of 5 stars","-15","-","-"
"237",10,"Tahj Brooks",CIN,"RB69","10","4 out of 5 stars","+8","-","-"
"238",10,"Elic Ayomanor",TEN,"WR85","10","4 out of 5 stars","+36","-","-"
"239",10,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-23","+0.5","56% (9/16)"
"240",10,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-44","-2.0","25% (4/16)"
"241",10,"Jaleel McLaughlin",DEN,"RB70","12","2 out of 5 stars","+31","-0.5","40% (6/15)"
"242",10,"Devin Neal",NO,"RB71","11","4 out of 5 stars","+12","-","-"
"243",10,"Jarquez Hunter",LAR,"RB72","8","3 out of 5 stars","-17","-","-"
"244",11,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-13","+2.9","75% (12/16)"
"245",11,"Devaughn Vele",DEN,"WR86","12","3 out of 5 stars","+72","+1.2","50% (6/12)"
"246",11,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","+23","+0.2","37% (6/16)"
"247",11,"Diontae Johnson",CLE,"WR87","9","2 out of 5 stars","+59","-2.5","23% (3/13)"
"248",11,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-38","+0.6","53% (8/15)"
"249",11,"Raheem Mostert",LV,"RB73","8","2 out of 5 stars","+12","-1.2","41% (5/12)"
"250",11,"Brashard Smith",KC,"RB74","10","2 out of 5 stars","-18","-","-"
"251",11,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-26","-2.1","25% (4/16)"
"252",11,"Jalen Royals",KC,"WR88","10","3 out of 5 stars","-5","-","-"
"253",11,"Elijah Mitchell",KC,"RB75","10","2 out of 5 stars","+7","-","-"
"254",11,"Ollie Gordon II",MIA,"RB76","12","4 out of 5 stars","+37","-","-"
"255",11,"Sean Tucker",TB,"RB77","9","3 out of 5 stars","+48","+1.9","40% (6/15)"
"256",11,"Roman Wilson",PIT,"WR89","5","4 out of 5 stars","+48","-","-"
"257",11,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-55","-1.5","31% (5/16)"
"258",11,"Dyami Brown",JAC,"WR90","8","4 out of 5 stars","-3","-0.3","40% (6/15)"
"259",11,"Trevor Etienne",CAR,"RB78","14","3 out of 5 stars","+23","-","-"
"260",11,"Kenneth Gainwell",PIT,"RB79","5","4 out of 5 stars","+65","-0.2","50% (8/16)"
"261",11,"Jalen Tolbert",DAL,"WR91","10","2 out of 5 stars","+61","+1.4","56% (9/16)"
"262",11,"Nick Westbrook-Ikhine",MIA,"WR92","12","3 out of 5 stars","-","+2.5","50% (7/14)"
"263",11,"Audric Estime",DEN,"RB80","12","2 out of 5 stars","+35","-0.5","41% (5/12)"
"264",11,"Elijah Moore",BUF,"WR93","7","3 out of 5 stars","+70","-1.0","31% (5/16)"
"265",11,"Brandin Cooks",NO,"WR94","11","4 out of 5 stars","+68","-1.0","18% (2/11)"
"266",11,"Joshua Karty",LAR,"K14","8","2 out of 5 stars","0","+0.2","56% (9/16)"
"267",11,"Antonio Gibson",NE,"RB81","14","4 out of 5 stars","+12","-0.9","31% (5/16)"
"268",11,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+43","+2.5","62% (10/16)"
"269",11,"Daniel Jones",IND,"QB31","11","3 out of 5 stars","-20","-1.8","40% (4/10)"
"270",11,"Devin Singletary",NYG,"RB83","14","3 out of 5 stars","+49","-1.3","35% (5/14)"
